era,count
Quiet Luxury,488
Victorian Late / Bustle,113
Rococo,69
Atomic Age,55
Empire / Regency,32
Y2K,24
Edwardian,18
Belle Epoque,12
Normcore (2013-2016),10
Roaring Twenties / Art Deco,10
Minimalism (1990-1999),10
Disco,8
New Look / Post-War (1947-1954),8
Grunge,7
Power Dressing (1980-1990),5
Disco (1975-1980),5
Baroque,4
Power Dressing,4
Hippie / Counterculture,4
Minimalism,4
Athleisure (2010-present),4
Y2K (1999-2004),4
Space Age,3
Hippie / Counterculture (1965-1974),3
Victorian Early / Crinoline,2
Cottagecore,2
Hip-Hop (1980-present),2
Roaring Twenties / Art Deco (1920-1929),2
Wartime / Utility Fashion,2
Gorpcore (2020-present),1
Mod / Space Age (1960-1969),1
New Romanticism,1
Grunge (1988-1996),1
Cottagecore (2018-present),1
Hip-Hop,1
Quiet Luxury (2020-present),1
Gothic / High Medieval,1
Italian Renaissance,1
Wartime / Utility Fashion (1940-1945),1
Romantic (1820-1840),1
Romantic,1
Punk (1976-1983),1
Space Age (1960-1969),1
