raw_era,count,product_ids
Athleisure (2010-present),5,"2829,3402,3405,3445,3513"
Atomic Age (1950-1960),2,"2810,2828"
Baroque (1625-1700),1,2885
Belle Epoque (1890-1914),2,"2845,2887"
Cottagecore (2018-present),2,"3390,3414"
Dark Academia (2019-present),3,"3392,3411,3512"
Disco (1975-1980),1,2825
Dopamine Dressing (2021-present),3,"2808,2901,3404"
Edwardian (1901-1910),2,"2864,2883"
Empire / Regency (1800-1820),1,2884
Glam Rock (1970-1976),5,"2805,2811,2831,2837,2878"
Gorpcore (2020-present),1,2849
Great Depression (1930-1939),2,"2850,2910"
Indie Sleaze (2004-2010),6,"2813,2892,3391,3393,3407,3515"
Jacobean (1603-1625),1,2862
Late Medieval (1400-1485),1,2866
Neoclassical Transition (1775-1790),1,2854
New Look / Post-War (1947-1954),3,"2888,2905,3910"
New Romanticism (1980-1985),5,"2822,2833,2841,2860,2893"
Normcore (2013-2016),5,"2843,3403,3413,3417,3444"
Northern Renaissance (1500-1600),1,2832
Power Dressing (1980-1990),5,"2897,4520,4601,4602,4603"
Punk (1976-1983),1,3079
Restoration (1660-1685),1,2827
Roaring Twenties / Art Deco (1920-1929),1,2840
Rococo (1700-1775),8,"2809,2842,2855,2858,2869,2873,2875,2895"
Romantic (1820-1840),2,"2812,2898"
Space Age (1960-1969),8,"2819,2848,2853,2868,2872,2879,2891,3906"
Supermodel Era (1990-1997),11,"2816,2836,2861,2871,2876,2889,2894,2899,2907,3447,3905"
Victorian Early / Crinoline (1840-1869),2,"2817,2886"
Victorian Late / Bustle (1870-1890),2,"2814,2823"
Wartime / Utility Fashion (1940-1945),1,3907
World War I Transition (1914-1918),1,2821
Y2K (1999-2004),5,"3395,3401,3416,3514,3516"
